========== DATASET ==========
    Label    Count
    _____    _____

    akiec     327 
    bcc       514 
    bkl      1099 
    df        115 
    mel      1113 
    nv       6705 
    vasc      142 


Train: 8513 | Val: 1502

========== BUILDING NETWORK ==========
Feature layer: efficientnet-b0|model|head|MulLayer
✓ Network built!

========================================
TRAINING CONFIGURATION
========================================
Max Epochs: 75 (NO early stopping)
Initial LR: 0.0010
LR Schedule: Drop 50% every 20 epochs
Batch Size: 32
========================================

Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:35 |        6.25% |       24.10% |       2.8049 |       1.9639 |          0.0010 |
|       1 |          30 |       00:02:07 |       59.38% |       70.04% |       1.2250 |       0.9261 |          0.0010 |
|       1 |          60 |       00:03:27 |       65.62% |       71.30% |       1.2138 |       0.8988 |          0.0010 |
|       1 |          90 |       00:04:57 |       71.88% |       70.24% |       0.7138 |       0.7878 |          0.0010 |
|       1 |         120 |       00:06:30 |       68.75% |       71.50% |       0.8654 |       0.8273 |          0.0010 |
|       1 |         150 |       00:07:55 |       68.75% |       73.70% |       1.0342 |       0.7592 |          0.0010 |
|       1 |         180 |       00:09:25 |       75.00% |       74.70% |       0.6921 |       0.7708 |          0.0010 |
|       1 |         210 |       00:10:43 |       65.62% |       73.83% |       0.7466 |       0.7830 |          0.0010 |
|       1 |         240 |       00:12:01 |       81.25% |       74.77% |       0.5437 |       0.7677 |          0.0010 |
|       2 |         270 |       00:13:22 |       87.50% |       74.97% |       0.3187 |       0.6979 |          0.0010 |
|       2 |         300 |       00:14:37 |       75.00% |       74.57% |       0.7276 |       0.6988 |          0.0010 |
|       2 |         330 |       00:15:54 |       71.88% |       75.23% |       0.5259 |       0.7430 |          0.0010 |
|       2 |         360 |       00:17:12 |       78.12% |       75.37% |       0.5084 |       0.7518 |          0.0010 |
|       2 |         390 |       00:18:28 |       78.12% |       75.50% |       0.6173 |       0.7597 |          0.0010 |
|       2 |         420 |       00:19:47 |       81.25% |       76.83% |       0.5127 |       0.6626 |          0.0010 |
|       2 |         450 |       00:21:03 |       87.50% |       75.57% |       0.2811 |       0.7668 |          0.0010 |
