Dataset Summary:
    Label    Count
    _____    _____

    akiec     327 
    bcc       514 
    bkl      1099 
    df        115 
    mel      1113 
    nv       6705 
    vasc      142 

Training data:
    Label    Count
    _____    _____

    akiec     262 
    bcc       411 
    bkl       879 
    df         92 
    mel       890 
    nv       5364 
    vasc      114 

Validation data:
    Label    Count
    _____    _____

    akiec      65 
    bcc       103 
    bkl       220 
    df         23 
    mel       223 
    nv       1341 
    vasc       28 

Training CNN...
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:40 |        9.38% |       16.87% |       2.8753 |       2.4287 |      1.0000e-04 |
|       1 |          30 |       00:01:03 |       71.88% |       71.39% |       0.6705 |       0.8808 |      1.0000e-04 |
|       1 |          50 |       00:01:11 |       75.00% |              |       0.5884 |              |      1.0000e-04 |
|       1 |          60 |       00:01:23 |       78.12% |       74.84% |       0.6534 |       0.7111 |      1.0000e-04 |
|       1 |          90 |       00:01:46 |       56.25% |       75.04% |       0.8966 |       0.6933 |      1.0000e-04 |
|       1 |         100 |       00:01:50 |       75.00% |              |       0.6719 |              |      1.0000e-04 |
|       1 |         120 |       00:02:14 |       65.62% |       75.24% |       0.7312 |       0.7015 |      1.0000e-04 |
|       1 |         150 |       00:02:52 |       84.38% |       76.88% |       0.5628 |       0.7184 |      1.0000e-04 |
|       1 |         180 |       00:03:24 |       93.75% |       76.34% |       0.4209 |       0.6365 |      1.0000e-04 |
|       1 |         200 |       00:03:36 |       71.88% |              |       0.7235 |              |      1.0000e-04 |
|       1 |         210 |       00:03:52 |       75.00% |       75.39% |       0.6996 |       0.7264 |      1.0000e-04 |
|       1 |         240 |       00:04:13 |       78.12% |       78.33% |       0.4894 |       0.6329 |      1.0000e-04 |
|       1 |         250 |       00:04:17 |       78.12% |              |       0.4880 |              |      1.0000e-04 |
|       2 |         270 |       00:04:34 |       81.25% |       76.68% |       0.4012 |       0.6905 |      1.0000e-04 |
|       2 |         300 |       00:04:55 |       90.62% |       75.99% |       0.4081 |       0.6175 |      1.0000e-04 |
|       2 |         330 |       00:05:16 |       81.25% |       78.58% |       0.4119 |       0.6064 |      1.0000e-04 |
