Dataset Summary:
    Label    Count
    _____    _____

    akiec     327 
    bcc       514 
    bkl      1099 
    df        115 
    mel      1113 
    nv       6705 
    vasc      142 

Training data:
    Label    Count
    _____    _____

    akiec     262 
    bcc       411 
    bkl       879 
    df         92 
    mel       890 
    nv       5364 
    vasc      114 

Validation data:
    Label    Count
    _____    _____

    akiec      65 
    bcc       103 
    bkl       220 
    df         23 
    mel       223 
    nv       1341 
    vasc       28 

Training CNN with Attention Mechanism...
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:52 |        6.25% |       13.63% |       2.6691 |       2.0728 |          0.0010 |
|       1 |          30 |       00:01:38 |       56.25% |       69.80% |       1.2550 |       0.9458 |          0.0010 |
|       1 |          50 |       00:02:03 |       56.25% |              |       1.5295 |              |          0.0010 |
|       1 |          60 |       00:02:47 |       62.50% |       72.49% |       1.1251 |       0.8071 |          0.0010 |
|       1 |          90 |       00:03:49 |       71.88% |       73.79% |       0.9515 |       0.7793 |          0.0010 |
|       1 |         100 |       00:04:01 |       84.38% |              |       0.4648 |              |          0.0010 |
|       1 |         120 |       00:04:52 |       62.50% |       72.29% |       0.9716 |       0.8359 |          0.0010 |
|       1 |         150 |       00:05:56 |       59.38% |       74.69% |       0.7822 |       0.7404 |          0.0010 |
|       1 |         180 |       00:06:58 |       71.88% |       74.19% |       0.7086 |       0.7486 |          0.0010 |
|       1 |         200 |       00:07:23 |       75.00% |              |       0.6921 |              |          0.0010 |
|       1 |         210 |       00:08:03 |       84.38% |       76.19% |       0.4301 |       0.7147 |          0.0010 |
|       1 |         240 |       00:09:09 |       78.12% |       72.49% |       0.6969 |       0.8375 |          0.0010 |
|       1 |         250 |       00:09:21 |       68.75% |              |       0.6728 |              |          0.0010 |
|       2 |         270 |       00:10:12 |       81.25% |       72.54% |       0.3933 |       0.8652 |          0.0010 |
|       2 |         300 |       00:11:17 |       71.88% |       77.28% |       0.7164 |       0.6725 |          0.0010 |
|       2 |         330 |       00:12:38 |       68.75% |       77.18% |       0.6456 |       0.6741 |          0.0010 |
|       2 |         350 |       00:13:10 |       75.00% |              |       0.8150 |              |          0.0010 |
